name,Collaborated,query_county,city,query_purpose,person_with_relationship,org_contact,org_contact_title,phone,email,contact:email,website,latitude,longitude,osm_id,osm_type,alt_name,amenity,appointment,branch,brand,brand:wikidata,building,building:levels,check_date,check_date:opening_hours,check_date:service:bicycle:pump,contact:facebook,contact:instagram,contact:linkedin,contact:twitter,contact:website,contact:yelp,created_by,currency:USD,ele,height,level,name:ca,note,official_name,old_name,opening_hours,operator,paloalto_ca:id,payment:cash,payment:contactless,payment:credit_cards,payment:debit_cards,payment:litecoin,payment:mastercard,payment:visa,redwood_city_ca:addr_id,redwood_city_ca:bld_gid,rental,roof:shape,second_hand,service:bicycle:Bicycle_Sales_and_Service,service:bicycle:accessories,service:bicycle:bicycle,service:bicycle:bicycle_sales_and_service,service:bicycle:bike,service:bicycle:chain_tool,service:bicycle:cleaning,service:bicycle:clothing,service:bicycle:dealer,service:bicycle:diy,service:bicycle:ebike,service:bicycle:electric_bikes,service:bicycle:mtb,service:bicycle:parts,service:bicycle:pump,service:bicycle:rental,service:bicycle:repair,service:bicycle:retail,service:bicycle:sales,service:bicycle:school,service:bicycle:second_hand,service:bicycle:service,service:bicycle:showroom,service:bicycle:spare_parts,service:bicycle:tools,service:bicycle:training,service:bicycle:wheel,shop,short_name,source,stroller,toilets,walk-in,wheelchair,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,addr:unit
Mike's Bikes,,alameda,,bikeshops,,,,+1-510-845-2453,,,https://mikesbikes.com/pages/berkeley,37.870923,-122.2740874,204491096,way,,,,,,,retail,,,,,,,,,,,,,,,,,,,,Mo-Sa 10:00-18:00; Su 10:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,bicycle,,,,,,yes,Berkeley,US,,1824,94703,CA,University Avenue,
Laurel Cyclery,,alameda,,bikeshops,,,,510-328-1158,,,https://www.laurelcyclery.com/,37.7919299,-122.1991288,236495100,way,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,bicycle,,,,,,,Oakland,,,3715,94619,,MacArthur Boulevard,
Trek,,alameda,,bikeshops,,,,,,,https://www.trekbikes.com/us/en_US/retail/livermore/,37.6851235,-121.764409,258817647,way,Trek Bicycle Store,,,,Trek,Q1067617,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,2752,,,First Street,
Alameda Bicycle,,alameda,,bikeshops,,,,,,,https://www.alamedabicycle.com/,37.7659681,-122.241087,310948106,node,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 11:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,bicycle,,,,,,,Alameda,,,1522,94501,CA,Park Street,
Stone's Cyclery,,alameda,,bikeshops,,,,,,,,37.7655347,-122.2425911,310973056,node,,,,,,,,,,,,,,,,,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,,,,,,,,
Bikes on Solano,,alameda,,bikeshops,,,,+1-510-524-1094,,,https://bikesonsolano.wordpress.com/,37.8909135,-122.285199,343611042,node,,,,,,,,,,,,,,,,,,,,,,,,,,Solano Avenue Cyclery,Mo-Sa 12:00-18:00; Su 12:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Albany,US,,1554,94707,CA,Solano Avenue,
Street Level Cycles - Bicycle Sales and Rentals,,alameda,,bikeshops,,,,,,,https://watersideworkshops.org/,37.8643079,-122.3015234,344192515,way,,,,,,,yes,,,,,,,,,,,,,,,,,,,,We-Su 12:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,yes,,,yes,,,,,,,bicycle,,,,,,,,US,,84,,CA,Bolivar Drive,
Trek,,alameda,,bikeshops,,,,+1-510-570-3885,,,,37.8147732,-122.2457868,363904753,node,Trek Bicycle Store,,,,Trek,Q1067617,,,,,,,,,,,,,,,,,,,,Cyclesports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,bicycle,,,,,,,,,,3530,,,Grand Avenue,
Mike's Bikes of Pleasanton,,alameda,,bikeshops,,,,+1-925-223-8267,,,https://mikesbikes.com/,37.6569165,-121.8972565,384584256,way,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bicycle,,,,,,,Pleasanton,US,,6754,94566,CA,Bernal Avenue,710
Tip Top Bike Shop,,alameda,,bikeshops,,,,+1 510-444-4148,,,https://www.tiptopbikeshop.com/,37.8348894,-122.2626757,430531321,node,,,,,,,,,2025-04-30,,,,,,,,,,,,,,,,,,"Mo off, Tu-Fr 11:00-18:00, Sa-Su 12:00-17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,bicycle,,,,,,yes,Oakland,,,4800A,94609,CA,Telegraph Avenue,
