name,Collaborated,query_county,city,query_purpose,person_with_relationship,org_contact,org_contact_title,phone,email,contact:email,website,latitude,longitude,osm_id,osm_type,access,air_conditioning,airside,alt_name,amenity,baby_feeding,bar,books,branch,brand,brand:contact:facebook,brand:contact:instagram,brand:contact:twitter,brand:contact:youtube,brand:wikidata,building,building:levels,building:min_level,building:use,changing_table,changing_table:count,changing_table:location,check_date,check_date:opening_hours,coffee,contact:atom,contact:facebook,contact:instagram,contact:patreon,contact:pinterest,contact:rss,contact:twitter,contact:yelp,contact:youtube,craft,currency:USD,currency:XBT,description,disused,disused:website,ele,facebook,fax,fixme,game,height,image,indoor,internet_access,internet_access:fee,language:zh,level,level:ref,name:en,name:es,name:zh,note,note:opening_hours,office,official_name,old_name,opening_hours,opening_hours:covid19,opening_hours:url,operator,operator:type,operator:wikidata,paloalto_ca:id,payment:american_express,payment:apple_pay,payment:cards,payment:cash,payment:cheque,payment:credit_cards,payment:cryptocurrencies,payment:debit_cards,payment:google_pay,payment:litecoin,payment:mastercard,payment:visa,permit,redwood_city_ca:addr_id,ref,room,safety:mask:covid19,second_hand,shop,short_name,short_name:zh,smoking,source,start_date,stationery,strapline,stroller,survey:date,toilets,tourism,toys,was:shop,website:calendar,wheelchair,wheelchair:description,wikidata,wikimedia_commons,wikipedia,addr:city,addr:country,addr:door,addr:floor,addr:housenumber,addr:place,addr:postcode,addr:state,addr:street,addr:unit
Moe's Books,,alameda,,bookstores,,,,+1 510 849 2087,,,https://www.moesbooks.com/,37.8654236,-122.2589766,37060777,way,,,,,,,,,,,,,,,,retail,4,,,,,,2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 11:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,Berkeley,,,,2476,,94704,CA,Telegraph Avenue,
Pioneer Bookstore,,alameda,,bookstores,,,,,,,,37.6550185,-122.056159,69602836,way,,,,,,,,,,,,,,,,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pegasus Books,,alameda,,bookstores,,,,,,,https://www.pegasusbookstore.com/,37.8431031,-122.2515425,160262695,way,,,,,,no,,,,,,,,,,retail,1,,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,Pendragon Books,Mo-Su 10:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,yes,books,,,,Local knowledge,,,,,,,,,,,yes,,,,,,,,,5560,,,CA,College Avenue,
Spectator Books,,alameda,,bookstores,,,,,,,,37.8273908,-122.2517765,225171142,way,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,4163,,,,Piedmont Avenue,
Books Inc.,,alameda,,bookstores,,,,+1-510-522-2226,,,,37.7636212,-122.2431041,310972963,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,Alameda,,,,1344,,94501,CA,Park Street,
Rocket Reuse,,alameda,,bookstores,,,,,,,,37.7640546,-122.2432127,310973027,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pegasus,,alameda,,bookstores,,,,,,,,37.8915626,-122.2784812,343610927,node,,,,Pegasus Fine Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 10:00-18:00,,,,,,,,,,,,,,,,,,,,,,,,yes,books,,,,,,,,,,,,,,,yes,,,,,Berkeley,US,,,1855,,,CA,Solano Avenue,
Barnes & Noble,,alameda,,bookstores,,,,+1-925-560-1495,,,https://www.barnesandnoble.com/,37.7058075,-121.8850607,386853188,way,,,,,,,,,,Barnes & Noble,,,,,Q795454,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,Dublin,US,,,4972,,94568,CA,Dublin Boulevard,
,,alameda,,bookstores,,,,,,,,37.811607,-122.1978799,402818448,way,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,gas station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,2844,,,,Mountain Boulevard,
Bibliomania,,alameda,,bookstores,,,,,,,,37.8079726,-122.2698385,430883942,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeshore Learning Store,,alameda,,bookstores,,,,,,,,37.7088288,-122.1594885,478170487,way,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,books,,,,,,,,,,,,,,,,,,,,,,,,1144,,,,Montague Avenue,
