name,Collaborated,query_county,city,query_purpose,person_with_relationship,org_contact,org_contact_title,phone,email,contact:email,website,latitude,longitude,osm_id,osm_type,ALAND,AREAID,AWATER,COUNTYFP,FIXME,MTFCC,OBJNAME,SHAPE_STAr,SHAPE_STLe,STATEFP,Tiger:MTFCC,Zoning,abandoned,abandoned:amenity,access,affiliation,after_school,air_conditioning,alt_name,alt_name:am,alt_name:en,alt_name:es,alt_name:vi,amenity,amenity:historic,amenity_1,architect,architect:wikidata,area,artist_name,basilica,branch,brand,building,building:architecture,building:colour,building:levels,building:material,building:part,building:type,building:use,capacity,check_date,comment,community,community:en,community:gender,community:vi,community:wikidata,community_centre,community_centre:for,contact:facebook,contact:fax,contact:instagram,contact:twitter,contact:website,contact:youtube,created_by,demolished:amenity,demolished:building,denomination,denomination:wikidata,description,description:emergency,designation,diocese,disued:website,disused,disused:amenity,disused:denomination,disused:office,disused:official_name,disused:phone,disused:religion,disused:school,disused:website,ele,elevation,events_centre:conference,facebook,fax,fee,fixme,fixme:amenity,flag:name,flag:type,flag:wikidata,full_name,full_name:es,gnis:feature_id,grade,grades,healthcare,height,heritage,heritage:name,heritage:operator,heritage:ref,heritage:since,historic,historic:denomination,historic:name,image,indoor,inscription,internet_access,internet_access:ssid,landuse,language:am,language:en,language:es,language:hr,language:ja,language:ko,language:la,language:zh,layer,leisure,level,loc_name,location,long_name,man_made,mascot,massgis:cat,max_age,min_age,monastery:type,museum,name:am,name:en,name:es,name:etymology,name:etymology:wikidata,name:fil,name:fr,name:he,name:it,name:ja,name:ko,name:pt,name:ru,name:th,name:tl,name:uk,name:ur,name:vi,name:vi-Hani,name:zh,name:zh-Hans,name:zh-Hant,not:shop,note,note:address,office,official_name,official_name:en,official_name:es,old_name,old_name:am,old_name:en,old_name:es,old_name:ko,old_name:la,old_name:vi,old_official_name:en,opening_hours,operator,operator:short,operator:type,operator:website,operator:wikidata,owner,owner:website,owner:wikidata,paloalto_ca:id,payment:cash,payment:credit_cards,pet,phone:mnemonic,place_of_worship,preschool,redwood_city_ca:addr_id,redwood_city_ca:bld_gid,redwood_city_ca:bldg_id,ref,ref:blklot,ref:chisl,ref:chl,ref:nrhp,religion,religion:wikidata,residential,reviewed,roof:colour,roof:height,roof:levels,roof:orientation,roof:shape,room,ruins,school,school:gender,service_times,sfgov:OBJNAME,shop,short_name,short_name:en,short_name:vi,short_name:zh,social_facility,social_facility:for,social_facility:for_1,source,source:addr,source:phone,sport,start_date,strapline,subject,subject:wikidata,survey:date,toilets:wheelchair,tourism,training,type,upload_version,verified,was:amenity,was:denomination,website:official,wheelchair,wikidata,wikimedia_commons,wikipedia,addr:1:housenumber,addr:city,addr:country,addr:county,addr:floor,addr:full,addr:housename,addr:housenumber,addr:paloaltoca_id,addr:place,addr:postcode,addr:state,addr:street,addr:unit
,,alameda,,religion,,,,,,,,,,2991275,relation,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,
Holy Ghost Cemetery,,alameda,,religion,,,,,,,,,,3953138,relation,,,,,,,,,,,,,,,,,,,,,,,,grave_yard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catholic,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,1675534,,,,,,,,,,,,,,,,,,cemetery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,
First Congregational Church of Berkeley,,alameda,,religion,,,,,,,https://www.fccb.org/,,,4083050,relation,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,united_church_of_christ,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,1656703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,2345,,,,,Channing Way,
First Church of Christ Scientist,,alameda,,religion,,,,,,,,,,4115471,relation,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,Bernard Maybeck,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,christ_scientist,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,1656702,,,,,2,,nhl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,Q5452668,,"en:First Church of Christ, Scientist (Berkeley, California)",,,,,,,,2619,,,,,Dwight Way,
Greek Orthodox Church of the Ascension,,alameda,,religion,,,,+1-510-531-3400,,,https://www.ascensioncathedral.com/,,,6068529,relation,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,greek_orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,yes,Q4803833,,,,Oakland,,,,,,4700,,,,CA,Lincoln Avenue,
First Presbyterian Church,,alameda,,religion,,,,,,,,,,6849383,relation,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,presbyterian,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,1661740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,Q5453665,,,,,,,,,,,,,,,,
First Baptist Church,,alameda,,religion,,,,,,,https://www.fbcalameda.net/,,,6882803,relation,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,1661942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,1515,,,,,Santa Clara Avenue,
Evergreen Baptist Church,,alameda,,religion,,,,,,,,,,6989183,relation,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,1961796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,
Thousand Oaks Baptist Church,,alameda,,religion,,,,,,,,,,7923533,relation,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,church,,,,,,,,,,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,2086950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,Berkeley,US,,,,,1821,,,94707,CA,Catalina Avenue,
Zaytuna College,,alameda,,religion,,,,,,,https://zaytuna.edu/,,,8648606,relation,,,,,,,,,,,,,,,,,,,,,,,,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,Q3151824,,,,,,,,,,,,,,,,
