name,Collaborated,query_county,city,query_purpose,person_with_relationship,org_contact,org_contact_title,phone,email,contact:email,website,latitude,longitude,osm_id,osm_type,access,air_conditioning,alt_name,alt_name:en,alt_name:vi,amenity,amenity_1,architect,architect:wikidata,area,barrier,beds,branch,brand,brand:contact:twitter,brand:wikidata,building,building:levels,building:material,building:part,building:prefabricated,camera:mount,camera:type,capacity,check_date,check_date:opening_hours,club,community_centre,community_centre:for,construction,contact:facebook,contact:instagram,contact:linkedin,contact:twitter,contact:website,contact:youtube,craft,cuisine,dance:style,dance:teaching,denomination,description,disused:amenity,disused:shop,disused:sport,disused:tourism,disused:website,drinking_water,ele,emergency,fax,fixme,gnis:feature_id,government,hackerspace,healthcare,healthcare:speciality,height,heritage,heritage:operator,hist_name,historic,historic:amenity,historic:name,image,indoor,internet_access,landuse,layer,leed,leisure,level,lgbtq,loc_name,man_made,min_age,name:am,name:en,name:es,name:etymology,name:etymology:wikidata,name:ko,name:signed,name:vi,name:vi-Hani,name:zh,not:amenity,note,office,official_name,old:operator,old_name,old_name:es,opening_hours,opening_hours:covid19,opening_hours:signed,operational_status,operator,operator:short,operator:type,operator:website,operator:wikidata,owner,owner:wikidata,paloalto_ca:id,payment:cash,payment:contactless,payment:credit_cards,payment:discover_card,payment:mastercard,payment:visa,pet,pets,redwood_city_ca:addr_id,redwood_city_ca:bld_gid,redwood_city_ca:bldg_id,ref,ref:nrhp,religion,residential,roof:levels,roof:orientation,roof:shape,scents,second_hand,service:bicycle:repair,service_times,shelter,shelter_type,shop,short_name,short_name:en,short_name:vi,smoking,social_facility,social_facility:for,social_facility:for_1,social_facility_1,source,source:addr,source:url,sport,start_date,strapline,surveillance,surveillance:type,surveillance:zone,survey:date,theatre:genre,toilets,tourism,training,type,was:addr:housenumber,was:addr:street,was:addr:unit,was:amenity,was:name,washing_machine,website:calendar,website:menu,wheelchair,wikidata,wikimedia_commons,wikipedia,addr:city,addr:country,addr:county,addr:floor,addr:housename,addr:housenumber,addr:neighbourhood,addr:postcode,addr:state,addr:street,addr:unit
Kenneth Aitken Senior Center and Community Center,,alameda,,social_community,,,,+1-510-881-6738,,,,,,2595141,relation,,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,17800,,,,Redwood Road,
Frances Albrier Community Center,,alameda,,social_community,,,,,,,https://berkeleyca.gov/community-recreation/parks-recreation/facilities/frances-albrier-community-center,,,2834450,relation,,,Frances Albrier Recreation Center,,,community_centre,,,,,,,,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2086825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City of Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS Geonames,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,Berkeley,US,,,,2800,,,CA,Park Street,
Mastick Senior Center,,alameda,,social_community,,,,510-747-7500,,,https://mastickcenter.com/,,,6827544,relation,,,,,,community_centre,,,,,,,,,,,social_facility,,,,,,,,,,,senior_centre,senior,,,,,,,,,,,,,,,,,,,,8,,,,1670756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS Geonames,,,,,,,,,,,,,,multipolygon,,,,,,,,,yes,,,,Alameda,,,,,1155,,94501,CA,Santa Clara Avenue,
Clinton Community Center,,alameda,,social_community,,,,,,,,,,6958495,relation,,,,,,community_centre,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,655,,,,International Boulevard,
Oakmont of Cardinal Point,,alameda,,social_community,,,,+1-510-296-5377,,,https://oakmontseniorliving.com/marinerpoint/,,,6979378,relation,,,,,,social_facility,,,,,,,,,,,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakmont Senior Living,,,,,,,,,,,,,,,,,,,,,,,,,hipped,,,,,,,,,,,,group_home,senior,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,2431,,,,Mariner Square Drive,
,,alameda,,social_community,,,,,,,,,,11168495,relation,,,,,,social_facility,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_home,senior,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,
,,alameda,,social_community,,,,,,,,,,11168496,relation,,,,,,social_facility,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_home,senior,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,
Stoneridge Creek,,alameda,,social_community,,,,,,,,,,11168497,relation,,,,,,social_facility,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nursing_home,senior,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,
Fremont Village Assisted Living,,alameda,,social_community,,,,,,,,,,11846477,relation,,,,,,social_facility,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assisted_living,senior,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,Fremont,,,,,38801,,94538,CA,Hastings Street,
JCC East Bay,,alameda,,social_community,,,,,,,https://www.jcceastbay.org/,,,12563891,relation,,,Jewish Community Center of the East Bay,,,community_centre,,,,,,,,,,,school,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berkeley Richmond Jewish Community Center;Garfield Junior High School,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,Berkeley,US,,,,1414,,94709,CA,Walnut Street,
St. Paul's Retirement Community,,alameda,,social_community,,,,+1-510-835-4700,,,https://covia.org/st-pauls-towers/,37.812164,-122.2605989,23001609,way,,,St. Paul's Towers,,,social_facility,,,,,,,,,,,tower,22,,,,,,,2024-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_home,senior,,,,,,,1966,,,,,,,,,,,,,,,,,,,,,,,Oakland,,,,,100,,94610,CA,Bay Place,
